,Station ID,Station Rank
0,80122,1
1,80124,2
2,80213,3
3,80215,4
4,80409,5
5,80120,6
6,80126,7
7,80214,8
8,80121,9
9,80123,10
10,80125,11
11,80211,12
12,80212,13
13,80119,14
14,80127,15
15,80216,16
16,80410,17
17,80118,18
18,80128,19
19,80210,20
20,80411,21
