,OBJECTID,post_id,latitude,longitude,Name,Lines,Line Color
42,72755,3306169,34.04863885,-118.2586942,7th St / Metro Center Station,"['Red', 'Purple']",D
43,72756,3306170,34.04932086,-118.2512712,Pershing Square Station,"['Red', 'Purple']",D
44,72757,3306171,34.05490486,-118.2460692,Civic Center / Grand Park Station,"['Red', 'Purple']",D
45,72758,3306172,34.05620186,-118.2342612,Union Station,"['Red', 'Purple']",D
62,72775,3306189,34.03340286,-118.1544812,Atlantic Station,['Gold'],E
63,72776,3306190,34.03336886,-118.1612182,East LA Civic Center Station,['Gold'],E
64,72777,3306191,34.03332386,-118.1681522,Maravilla Station,['Gold'],E
65,72778,3306192,34.03430486,-118.1921942,Indiana Station,['Gold'],E
66,72779,3306193,34.04375186,-118.2100732,Soto Station,['Gold'],E
67,72780,3306194,34.04721986,-118.2196602,Mariachi Plaza / Boyle Heights Station,['Gold'],E
68,72781,3306195,34.04763886,-118.2259522,Pico / Aliso Station,['Gold'],E
129,72842,3306256,34.04884218,-118.2387869,Little Tokyo/Arts District,"['Blue', 'Expo']",E
128,72841,3306255,34.05203893,-118.2461664,Historic Broadway,"['Blue', 'Expo']",E
127,72840,3306254,34.05475059,-118.2512082,Grand Av Arts/Bunker Hill,"['Blue', 'Expo']",E
19,72732,3306146,34.04861486,-118.2588342,7th St / Metro Center Station,"['Blue', 'Expo']",E
18,72731,3306145,34.04073985,-118.2661302,Pico Station,"['Blue', 'Expo']",E
20,72733,3306147,34.02911685,-118.2736152,LATTC / Ortho Institute Station,['Expo'],E
21,72734,3306148,34.02212785,-118.2781302,Jefferson / USC Station,['Expo'],E
22,72735,3306149,34.01823185,-118.2857462,Expo Park / USC Station,['Expo'],E
23,72736,3306150,34.01824985,-118.2915522,Expo / Vermont Station,['Expo'],E
24,72737,3306151,34.01833585,-118.3089222,Expo / Western Station,['Expo'],E
25,72738,3306152,34.02253085,-118.3350902,Expo / Crenshaw Station,['Expo'],E
26,72739,3306153,34.02398585,-118.3461072,Farmdale Station,['Expo'],E
27,72740,3306154,34.02480785,-118.3551712,Expo / La Brea Station,['Expo'],E
28,72741,3306155,34.02635985,-118.3721322,La Cienega / Jefferson Station,['Expo'],E
29,72742,3306156,34.02790085,-118.3889982,Culver City Station,['Expo'],E
83,72796,3306210,34.02932784,-118.4042672,Palms Station,['Expo'],E
84,72797,3306211,34.03682084,-118.4245882,Westwood / Rancho Park Station,['Expo'],E
85,72798,3306212,34.03541284,-118.4342462,Expo / Sepulveda Station,['Expo'],E
86,72799,3306213,34.03170984,-118.4529082,Expo / Bundy Station,['Expo'],E
87,72800,3306214,34.02799984,-118.4691322,26th St / Bergamot Station,['Expo'],E
88,72801,3306215,34.02315984,-118.4803842,17th St / SMC Station,['Expo'],E
89,72802,3306216,34.01401484,-118.4913962,Downtown Santa Monica Station,['Expo'],E
116,72829,3306243,34.2521972,-118.5993797,Chatsworth Metro Station,['Orange'],G
115,72828,3306242,34.23592131,-118.5971927,Nordhoff Metro Station North Bound,['Orange'],G
114,72827,3306241,34.23498563,-118.5971931,Nordhoff Metro Station South Bound,['Orange'],G
113,72826,3306240,34.22047153,-118.5970328,Roscoe Metro Station North Bound,['Orange'],G
112,72825,3306239,34.21937541,-118.5970485,Roscoe Metro Station South Bound,['Orange'],G
111,72824,3306238,34.20050779,-118.5971486,Sherman Way Metro Station,['Orange'],G
110,72823,3306237,34.19136029,-118.5964455,Canoga Metro Station North-South,['Orange'],G
96,72809,3306223,34.18154485,-118.6014123,Warner Center Metro Station,['Orange'],G
97,72810,3306224,34.19056485,-118.5968923,Canoga Metro Station East-West,['Orange'],G
98,72811,3306225,34.18871485,-118.5887023,De Soto Metro Station,['Orange'],G
99,72812,3306226,34.18696485,-118.5705623,Pierce College Metro Station,['Orange'],G
100,72813,3306227,34.18105485,-118.5530923,Tampa Metro Station,['Orange'],G
101,72814,3306228,34.18045485,-118.5365023,Reseda Metro Station,['Orange'],G
102,72815,3306229,34.18600486,-118.5005822,Balboa Metro Station,['Orange'],G
103,72816,3306230,34.18631486,-118.4841522,Woodley Metro Station,['Orange'],G
104,72817,3306231,34.18085486,-118.4687622,Sepulveda Metro Station,['Orange'],G
105,72818,3306232,34.18046486,-118.4481522,Van Nuys Metro Station,['Orange'],G
106,72819,3306233,34.17899486,-118.4297122,Woodman Metro Station,['Orange'],G
107,72820,3306234,34.17176486,-118.4220922,Valley College Metro Station,['Orange'],G
109,72822,3306236,34.16856486,-118.3970522,Laurel Canyon Metro Station,['Orange'],G
108,72821,3306235,34.16881486,-118.3775322,North Hollywood Metro Station,['Orange'],G
117,72830,3306244,34.02245314,-118.3350902,Expo/Crenshaw Station,['K'],K
118,72831,3306245,34.01016656,-118.335347,Martin Luther King Jr Station,['K'],K
119,72832,3306246,34.00458152,-118.3326646,Leimert Park Station,['K'],K
120,72833,3306247,33.98828975,-118.3308357,Hyde Park Station,['K'],K
121,72834,3306248,33.97528429,-118.3360302,Fairview Heights Station,['K'],K
122,72835,3306249,33.96729917,-118.3513927,Downtown Inglewood Station,['K'],K
123,72836,3306250,33.96202081,-118.3744553,Westchester/Veterans Station,['K'],K
124,72837,3306251,33.94962547,-118.378663,LAX/Metro Transit Center Station,['K'],K
125,72838,3306252,33.94567805,-118.3787027,Aviation/Century Station,['K'],K
126,72839,3306253,33.92963484,-118.3772708,Aviation/LAX Station,['K'],K
