Boarding Category,APR 2022,APR 2021,APR 2020
Average Weekday Boardings,"32,534","19,397","12,848"
Average Saturday Boardings,"24,972","16,947","10,179"
Average Sunday and Holiday Boardings,"20,901","13,974","10,049"
Total Boardings,"891,678","550,418","363,568"
Proportion of Total Boardings,0.17597281303932102,0.15299580109194957,0.14051295607926617
