Boarding Category,MAR 2022,MAR 2021,MAR 2020
Average Weekday Boardings,"19,631","12,083","26,926"
Average Saturday Boardings,"17,201","11,263","13,317"
Average Sunday and Holiday Boardings,"13,251","9,006","13,603"
Total Boardings,"573,321","358,985","713,655"
Proportion of Total Boardings,0.10406809103854626,0.10272563383505981,0.13739932895920137
