Boarding Category,MAR 2023,MAR 2022,MAR 2021
Average Weekday Boardings,"81,162","85,959","55,296"
Average Saturday Boardings,"68,589","71,387","39,993"
Average Sunday and Holiday Boardings,"57,694","66,488","32,823"
Total Boardings,"2,371,858","2,528,557","1,563,072"
Proportion of Total Boardings,0.46617869589119065,0.4589786525736078,0.4472820923710868
