Boarding Category,APR 2022,APR 2021,APR 2020
Average Weekday Boardings,"17,449","12,515","8,694"
Average Saturday Boardings,"10,801","8,309","7,597"
Average Sunday and Holiday Boardings,"8,545","6,814","6,547"
Total Boardings,"454,614","335,822","247,844"
Proportion of Total Boardings,0.0897181543416546,0.09334606774179023,0.09578756404994292
