Boarding Category,FEB 2023,FEB 2022,FEB 2021
Average Weekday Boardings,"17,287","18,520","11,814"
Average Saturday Boardings,"12,258","14,230","9,792"
Average Sunday and Holiday Boardings,"11,640","12,108","8,849"
Total Boardings,"441,332","475,752","310,844"
Proportion of Total Boardings,0.0938116437890269,0.10483709606761728,0.1035249450476254
