Boarding Category,FEB 2023,FEB 2022,FEB 2021
Average Weekday Boardings,"17,133","16,026","11,745"
Average Saturday Boardings,"10,438","10,221","7,719"
Average Sunday and Holiday Boardings,"9,535","9,998","6,493"
Total Boardings,"422,552","401,396","291,748"
Proportion of Total Boardings,0.08981967703756105,0.08845194768105505,0.09716512355958169
