Boarding Category,JAN 2023,JAN 2022,JAN 2021
Average Weekday Boardings,"31,267","30,439","22,330"
Average Saturday Boardings,"22,802","21,590","15,907"
Average Sunday and Holiday Boardings,"19,087","18,225","14,004"
Total Boardings,"862,337","834,929","610,159"
Proportion of Total Boardings,0.18099695384891148,0.18654392298812028,0.20211797566338702
