Boarding Category,APR 2022,APR 2021,APR 2020
Average Weekday Boardings,"20,426","12,810","12,847"
Average Saturday Boardings,"15,661","10,984","10,019"
Average Sunday and Holiday Boardings,"12,643","9,206","7,705"
Total Boardings,"557,823","362,580","353,530"
Proportion of Total Boardings,0.11008646898099221,0.1007837998755838,0.1366334368335579
