Boarding Category,APR 2022,APR 2021,APR 2020
Average Weekday Boardings,"79,214","59,139","42,206"
Average Saturday Boardings,"61,445","41,393","28,454"
Average Sunday and Holiday Boardings,"56,549","35,985","22,502"
Total Boardings,"2,196,915","1,610,570","1,132,356"
Proportion of Total Boardings,0.4335615688155141,0.4476787593513679,0.43763667015274593
