Boarding Category,MAR 2022,MAR 2021,MAR 2020
Average Weekday Boardings,"35,765","24,143","34,721"
Average Saturday Boardings,"22,644","19,940","20,202"
Average Sunday and Holiday Boardings,"19,338","14,885","19,976"
Total Boardings,"990,523","694,589","944,550"
Proportion of Total Boardings,0.1797977707772329,0.19876065930292452,0.18185332712362925
