Boarding Category,APR 2022,APR 2021,APR 2020
Average Weekday Boardings,"36,312","26,652","17,826"
Average Saturday Boardings,"24,249","20,931","13,536"
Average Sunday and Holiday Boardings,"20,577","17,036","10,955"
Total Boardings,"966,105","738,212","490,136"
Proportion of Total Boardings,0.19066099482251805,0.20519557193930846,0.1894293728844871
