Boarding Category,MAR 2023,MAR 2022,MAR 2021
Average Weekday Boardings,"31,752","35,765","24,143"
Average Saturday Boardings,"22,095","22,644","19,940"
Average Sunday and Holiday Boardings,"18,761","19,338","14,885"
Total Boardings,"893,720","990,523","694,589"
Proportion of Total Boardings,0.1756569002410241,0.1797977707772329,0.19876065930292452
