Boarding Category,MAR 2022,MAR 2021,MAR 2020
Average Weekday Boardings,"16,980","11,697","19,015"
Average Saturday Boardings,"10,516","8,269","10,970"
Average Sunday and Holiday Boardings,"8,779","6,834","9,491"
Total Boardings,"467,720","329,443","509,665"
Proportion of Total Boardings,0.08489960692273413,0.09427201968751789,0.098125325253787
