Boarding Category,MAR 2022,MAR 2021,MAR 2020
Average Weekday Boardings,"85,959","55,296","79,771"
Average Saturday Boardings,"71,387","39,993","41,631"
Average Sunday and Holiday Boardings,"66,488","32,823","40,449"
Total Boardings,"2,528,557","1,563,072","2,123,731"
Proportion of Total Boardings,0.4589786525736078,0.4472820923710868,0.40887994099369257
