Boarding Category,MAR 2022,MAR 2021,MAR 2020
Average Weekday Boardings,"33,490","18,521","32,030"
Average Saturday Boardings,"24,150","16,881","17,505"
Average Sunday and Holiday Boardings,"20,526","13,751","25,548"
Total Boardings,"948,974","548,511","902,420"
Proportion of Total Boardings,0.17225587868787887,0.15695959480341098,0.17374207766968983
