Boarding Category,MAR 2023,MAR 2022,MAR 2021
Average Weekday Boardings,"28,174","33,490","18,521"
Average Saturday Boardings,"19,884","24,150","16,881"
Average Sunday and Holiday Boardings,"15,941","20,526","13,751"
Total Boardings,"791,302","948,974","548,511"
Proportion of Total Boardings,0.15552707388726095,0.17225587868787887,0.15695959480341098
