,OBJECTID,post_id,latitude,longitude,Name,Lines,Line
74,72787,3306201,34.09824786,-118.20672419,Southwest Museum Station,['Gold'],Gold
75,72788,3306202,34.11118387,-118.19261818,Highland Park Station,['Gold'],Gold
76,72789,3306203,34.11519087,-118.15789818,South Pasadena Station,['Gold'],Gold
77,72790,3306204,34.13352587,-118.14813818,Fillmore Station,['Gold'],Gold
78,72791,3306205,34.14191487,-118.14822618,Del Mar Station,['Gold'],Gold
79,72792,3306206,34.14836087,-118.14752418,Memorial Park Station,['Gold'],Gold
80,72793,3306207,34.15181087,-118.13140218,Lake Station,['Gold'],Gold
81,72794,3306208,34.15242187,-118.11436017,Allen Station,['Gold'],Gold
82,72795,3306209,34.14775688,-118.08122417,Sierra Madre Villa Station,['Gold'],Gold
83,72796,3306210,34.02932784,-118.40426721,Palms Station,['Expo'],Expo
84,72797,3306211,34.03682084,-118.42458822,Westwood / Rancho Park Station,['Expo'],Expo
85,72798,3306212,34.03541284,-118.43424622,Expo / Sepulveda Station,['Expo'],Expo
86,72799,3306213,34.03170984,-118.45290822,Expo / Bundy Station,['Expo'],Expo
87,72800,3306214,34.02799984,-118.46913222,26th St / Bergamot Station,['Expo'],Expo
88,72801,3306215,34.02315984,-118.48038422,17th St / SMC Station,['Expo'],Expo
89,72802,3306216,34.01401484,-118.49139623,Downtown Santa Monica Station,['Expo'],Expo
90,72803,3306217,34.14286488,-118.02921116,Arcadia Station,['Gold'],Gold
91,72804,3306218,34.13315988,-118.00348515,Monrovia Station,['Gold'],Gold
92,72805,3306219,34.13252288,-117.96769215,Duarte / City of Hope Station,['Gold'],Gold
93,72806,3306220,34.12905288,-117.93251814,Irwindale Station,['Gold'],Gold
94,72807,3306221,34.13586788,-117.90664314,Azusa Downtown Station,['Gold'],Gold
95,72808,3306222,34.13681889,-117.89164813,APU / Citrus College Station,['Gold'],Gold
96,72809,3306223,34.18154485,-118.60141226,Warner Center Metro Station,['Orange'],Orange
97,72810,3306224,34.19056485,-118.59689226,Canoga Metro Station East-West,['Orange'],Orange
98,72811,3306225,34.18871485,-118.58870226,De Soto Metro Station,['Orange'],Orange
99,72812,3306226,34.18696485,-118.57056225,Pierce College Metro Station,['Orange'],Orange
100,72813,3306227,34.18105485,-118.55309225,Tampa Metro Station,['Orange'],Orange
101,72814,3306228,34.18045485,-118.53650225,Reseda Metro Station,['Orange'],Orange
102,72815,3306229,34.18600486,-118.50058224,Balboa Metro Station,['Orange'],Orange
103,72816,3306230,34.18631486,-118.48415224,Woodley Metro Station,['Orange'],Orange
104,72817,3306231,34.18085486,-118.46876224,Sepulveda Metro Station,['Orange'],Orange
105,72818,3306232,34.18046486,-118.44815223,Van Nuys Metro Station,['Orange'],Orange
106,72819,3306233,34.17899486,-118.42971223,Woodman Metro Station,['Orange'],Orange
107,72820,3306234,34.17176486,-118.42209223,Valley College Metro Station,['Orange'],Orange
108,72821,3306235,34.16881486,-118.37753222,North Hollywood Metro Station,['Orange'],Orange
109,72822,3306236,34.16856486,-118.39705222,Laurel Canyon Metro Station,['Orange'],Orange
110,72823,3306237,34.19136029,-118.59644547,Canoga Metro Station North-South,['Orange'],Orange
111,72824,3306238,34.20050779,-118.59714864,Sherman Way Metro Station,['Orange'],Orange
112,72825,3306239,34.21937541,-118.59704848,Roscoe Metro Station South Bound,['Orange'],Orange
113,72826,3306240,34.22047153,-118.59703276,Roscoe Metro Station North Bound,['Orange'],Orange
114,72827,3306241,34.23498563,-118.59719309,Nordhoff Metro Station South Bound,['Orange'],Orange
115,72828,3306242,34.23592131,-118.59719274,Nordhoff Metro Station North Bound,['Orange'],Orange
116,72829,3306243,34.2521972,-118.59937972,Chatsworth Metro Station,['Orange'],Orange
117,72830,3306244,34.02245314,-118.33509015,Expo/Crenshaw Station,['K'],K
118,72831,3306245,34.01016656,-118.33534702,Martin Luther King Jr Station,['K'],K
119,72832,3306246,34.00458152,-118.33266463,Leimert Park Station,['K'],K
120,72833,3306247,33.98828975,-118.33083568,Hyde Park Station,['K'],K
121,72834,3306248,33.97528429,-118.33603018,Fairview Heights Station,['K'],K
122,72835,3306249,33.96729917,-118.35139274,Downtown Inglewood Station,['K'],K
123,72836,3306250,33.96202081,-118.37445529,Westchester/Veterans Station,['K'],K
124,72837,3306251,33.94962547,-118.37866297,LAX/Metro Transit Center Station,['K'],K
125,72838,3306252,33.94567805,-118.37870267,Aviation/Century Station,['K'],K
126,72839,3306253,33.92963484,-118.37727079,Aviation/LAX Station,['K'],K
127,72840,3306254,34.05475059,-118.2512082,Grand Av Arts/Bunker Hill,"['Blue', 'Expo']",Blue
128,72841,3306255,34.05203893,-118.24616642,Historic Broadway,"['Blue', 'Expo']",Blue
129,72842,3306256,34.04884218,-118.23878694,Little Tokyo/Arts District,"['Blue', 'Expo']",Blue
