,date,station_complex_id,station_complex,borough,routes,latitude,longitude,monthly_ridership
63,2022-02,E014,Bay Pkwy (D),BK,D,40.60187530517578,-73.99372863769531,106658
64,2022-02,E015,25 Av (D),BK,D,40.59770584106445,-73.98683166503906,60959
65,2022-02,E016,Bay 50 St (D),BK,D,40.58884048461914,-73.9837646484375,38551
66,2022-02,G009,"Coney Island-Stillwell Av (D,F,N,Q)",BK,"F,N,Q,D",40.577423095703125,-73.98123168945312,157858
67,2022-02,G011,"West 8 St-New York Aquarium (F,Q)",BK,"F,Q",40.57612609863281,-73.97593688964844,26978
68,2022-02,H006,3 Av (L),M,L,40.73284912109375,-73.98612213134766,87592
69,2022-02,H007,1 Av (L),M,L,40.730953216552734,-73.98162841796875,313235
70,2022-02,H009,Bedford Av (L),BK,L,40.71730422973633,-73.95687103271484,377292
71,2022-02,H012,Lorimer St (L)/Metropolitan Av (G),BK,"G,,L",40.71406173706055,-73.95027160644531,205102
72,2022-02,H013,Graham Av (L),BK,L,40.71456527709961,-73.94405364990234,119115
73,2022-02,H015,Grand St (L),BK,L,40.7119255065918,-73.94066619873047,92352
74,2022-02,H017,Montrose Av (L),BK,L,40.707740783691406,-73.93984985351562,92963
75,2022-02,H019,Morgan Av (L),BK,L,40.706153869628906,-73.93314361572266,93410
76,2022-02,H022,Jefferson St (L),BK,L,40.70660781860352,-73.92291259765625,97342
77,2022-02,H023,DeKalb Av (L),BK,L,40.70381164550781,-73.91842651367188,158951
78,2022-02,H026,"Myrtle-Wyckoff Avs (L,M)",BK,"M,L",40.69981384277344,-73.91158294677734,258762
79,2022-02,H028,Halsey St (L),BK,L,40.69560241699219,-73.90408325195312,98974
80,2022-02,H032,Wilson Av (L),BK,L,40.68876266479492,-73.90404510498047,60802
81,2022-02,H033,Bushwick Av-Aberdeen St (L),BK,L,40.68283081054688,-73.9052505493164,33730
82,2022-02,H035,Atlantic Av (L),BK,L,40.67534637451172,-73.9030990600586,21536
83,2022-02,H037,Sutter Av (L),BK,L,40.66936874389648,-73.9019775390625,37885
84,2022-02,H038,Livonia Av (L),BK,L,40.664039611816406,-73.90057373046875,37201
85,2022-02,H039,New Lots Av (L),BK,L,40.65873336791992,-73.89923095703125,53529
86,2022-02,H040,East 105 St (L),BK,L,40.65057373046875,-73.89948272705078,39233
87,2022-02,H041,Canarsie-Rockaway Pkwy (L),BK,L,40.64665222167969,-73.90184783935547,69919
88,2022-02,J001,"Marcy Av (J,M,Z)",BK,"M,J,Z",40.70835876464844,-73.95775604248047,173245
89,2022-02,J003,"Hewes St (J,M)",BK,"M,J",40.70687103271485,-73.95343017578125,41742
90,2022-02,J005,"Lorimer St (J,M)",BK,"M,J",40.7038688659668,-73.9474105834961,60324
91,2022-02,J007,"Flushing Av (J,M)",BK,"M,J",40.70026016235352,-73.94112396240234,107942
92,2022-02,J009,"Myrtle Av (J,M,Z)",BK,"M,J,Z",40.697208404541016,-73.93565368652344,141592
93,2022-02,J012,Kosciuszko St (J),BK,J,40.69334030151367,-73.92881774902344,71431
94,2022-02,J013,"Gates Av (J,Z)",BK,"J,Z",40.68962860107422,-73.92227172851562,89798
95,2022-02,J016,Halsey St (J),BK,J,40.686370849609375,-73.91655731201172,75621
96,2022-02,J017,"Chauncey St (J,Z)",BK,"J,Z",40.682891845703125,-73.91045379638672,40069
97,2022-02,J020,Alabama Av (J),BK,J,40.6769905090332,-73.89865112304688,28215
98,2022-02,J021,"Van Siclen Av (J,Z)",BK,"J,Z",40.67802429199219,-73.89168548583984,36114
99,2022-02,J022,Cleveland St (J),BK,J,40.67994689941406,-73.88463592529297,33009
100,2022-02,J023,"Norwood Av (J,Z)",BK,"J,Z",40.68141174316406,-73.88003540039062,35057
101,2022-02,J024,"Crescent St (J,Z)",BK,"J,Z",40.68319320678711,-73.87378692626953,60508
102,2022-02,J025,Cypress Hills (J),BK,J,40.68994140625,-73.87255096435547,16446
103,2022-02,J028,"75 St-Elderts Ln (J,Z)",Q,"J,Z",40.69132232666016,-73.86714172363281,41054
104,2022-02,J030,85 St-Forest Pkwy (J),Q,J,40.69243621826172,-73.8600082397461,42664
105,2022-02,J031,"Woodhaven Blvd (J,Z)",Q,"J,Z",40.693878173828125,-73.85157775878906,48346
106,2022-02,J034,"104 St (J,Z)",Q,"J,Z",40.6951789855957,-73.84432983398438,31739
107,2022-02,J035,111 St (J),Q,J,40.69741821289063,-73.83634185791016,26732
108,2022-02,J037,"121 St (J,Z)",Q,"J,Z",40.70049285888672,-73.82829284667969,25247
109,2022-02,K017,Central Av (M),BK,M,40.69785690307617,-73.92739868164062,53407
110,2022-02,K019,Knickerbocker Av (M),BK,M,40.69866561889648,-73.91970825195312,57111
111,2022-02,K022,Seneca Av (M),Q,M,40.702762603759766,-73.9077377319336,39121
112,2022-02,K024,Forest Av (M),Q,M,40.70442199707031,-73.903076171875,59800
113,2022-02,K025,Fresh Pond Rd (M),Q,M,40.70618438720703,-73.8958740234375,80233
114,2022-02,K026,Middle Village-Metropolitan Av (M),Q,M,40.71139526367188,-73.88960266113281,54975
115,2022-02,N002A,Inwood-207 St (A),M,A,40.868072509765625,-73.9198989868164,109439
116,2022-02,N003,Dyckman St (A),M,A,40.8654899597168,-73.9272689819336,83764
117,2022-02,N006A,190 St (A),M,A,40.8590202331543,-73.9341812133789,52959
118,2022-02,N007A,181 St (A),M,A,40.8516960144043,-73.9379653930664,139741
119,2022-02,N010,175 St (A),M,A,40.847389221191406,-73.93970489501953,145321
120,2022-02,N016A,163 St-Amsterdam Av (C),M,C,40.83601379394531,-73.93989562988281,57899
121,2022-02,N017,155 St (C),M,C,40.83051681518555,-73.94151306152344,35147
122,2022-02,N019,"145 St (A,B,C,D)",M,"C,B,A,D",40.82478332519531,-73.9442138671875,308822
123,2022-02,N024,"135 St (B,C)",M,"C,B",40.8178939819336,-73.94764709472656,70087
124,2022-02,N026,"125 St (A,B,C,D)",M,"C,B,A,D",40.81110763549805,-73.95234680175781,351766
125,2022-02,N030,"116 St (B,C)",M,"C,B",40.805084228515625,-73.95487976074219,91753
126,2022-02,N035,"Cathedral Pkwy-110 St (B,C)",M,"C,B",40.80060195922852,-73.95816040039062,98796
127,2022-02,N037,"103 St (B,C)",M,"C,B",40.79609298706055,-73.96145629882812,57960
128,2022-02,N040,"96 St (B,C)",M,"C,B",40.79164123535156,-73.9646987915039,118208
129,2022-02,N043,"86 St (B,C)",M,"C,B",40.78586959838867,-73.96891784667969,130436
130,2022-02,N044,"81 St-Museum of Natural History (B,C)",M,"C,B",40.78143310546875,-73.9721450805664,150232
131,2022-02,N046,"72 St (B,C)",M,"C,B",40.77559280395508,-73.97640991210938,100324
132,2022-02,N049,"59 St-Columbus Circle (A,B,C,D,1)",M,"C,1,B,A,D",40.76829528808594,-73.98173522949219,856539
133,2022-02,N056,"50 St (C,E)",M,"C,E",40.762454986572266,-73.9859848022461,179206
134,2022-02,N060,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)/Bryant Pk (B,D,F,M)/5 Av (7)",M,"3,C,1,2,S,7,F,M,E,N,R,Q,,B,W,A,D",40.75730895996094,-73.98196411132812,2533609
135,2022-02,N070,"34 St-Penn Station (A,C,E)",M,"C,E,A",40.752288818359375,-73.99339294433594,726880
136,2022-02,N076,"23 St (C,E)",M,"C,E",40.745906829833984,-73.99803924560547,212728
137,2022-02,N078,"14 St (A,C,E)/8 Av (L)",M,"C,E,,A,L",40.74089431762695,-74.00169372558594,478203
138,2022-02,N080,"West 4 St-Washington Sq (A,B,C,D,E,F,M)",M,"F,M,C,E,B,A,D",40.73233795166016,-74.00049591064453,489716
139,2022-02,N086,"Spring St (C,E)",M,"C,E",40.72622680664063,-74.00373840332031,127639
140,2022-02,N089,"Canal St (A,C,E)",M,"C,E,A",40.7208251953125,-74.0052261352539,181118
141,2022-02,N094,"Chambers St (A,C)/WTC (E)/Park Pl (2,3)/Cortlandt (R,W)",M,"3,C,E,2,R,,A,W",40.714111328125,-74.00858306884766,546743
