,station_complex_id,station_complex,borough,routes,latitude,longitude,average_monthly_ridership
64,E015,25 Av (D),BK,D,40.59770584106445,-73.98683166503906,77431.04761904762
65,E016,Bay 50 St (D),BK,D,40.58884048461914,-73.9837646484375,47821.333333333336
66,G009,"Coney Island-Stillwell Av (D,F,N,Q)",BK,"F,N,Q,D",40.577423095703125,-73.98123168945312,275371.85714285716
67,G011,"West 8 St-New York Aquarium (F,Q)",BK,"F,Q",40.57612609863281,-73.97593688964844,53386.333333333336
68,H006,3 Av (L),M,L,40.73284912109375,-73.98612213134766,124263.42857142857
69,H007,1 Av (L),M,L,40.730953216552734,-73.98162841796875,462816.71428571426
70,H009,Bedford Av (L),BK,L,40.71730422973633,-73.95687103271484,648746.0
71,H012,Lorimer St (L)/Metropolitan Av (G),BK,"G,,L",40.71406173706055,-73.95027160644531,306476.5238095238
72,H013,Graham Av (L),BK,L,40.71456527709961,-73.94405364990234,169973.2857142857
73,H015,Grand St (L),BK,L,40.7119255065918,-73.94066619873047,121973.14285714286
74,H017,Montrose Av (L),BK,L,40.707740783691406,-73.93984985351562,132472.2380952381
75,H019,Morgan Av (L),BK,L,40.706153869628906,-73.93314361572266,138011.66666666666
76,H022,Jefferson St (L),BK,L,40.70660781860352,-73.92291259765625,159408.52380952382
77,H023,DeKalb Av (L),BK,L,40.70381164550781,-73.91842651367188,217171.47619047618
78,H026,"Myrtle-Wyckoff Avs (L,M)",BK,"M,L",40.69981384277344,-73.91158294677734,389784.14285714284
79,H028,Halsey St (L),BK,L,40.69560241699219,-73.90408325195312,138891.14285714287
80,H032,Wilson Av (L),BK,L,40.68876266479492,-73.90404510498047,77914.09523809524
81,H033,Bushwick Av-Aberdeen St (L),BK,L,40.68283081054688,-73.9052505493164,44351.857142857145
82,H035,Atlantic Av (L),BK,L,40.67534637451172,-73.9030990600586,29141.809523809523
83,H037,Sutter Av (L),BK,L,40.66936874389648,-73.9019775390625,41444.09523809524
84,H038,Livonia Av (L),BK,L,40.664039611816406,-73.90057373046875,47625.95238095238
85,H039,New Lots Av (L),BK,L,40.65873336791992,-73.89923095703125,59829.380952380954
86,H040,East 105 St (L),BK,L,40.65057373046875,-73.89948272705078,47813.76190476191
87,H041,Canarsie-Rockaway Pkwy (L),BK,L,40.64665222167969,-73.90184783935547,64520.0
88,J001,"Marcy Av (J,M,Z)",BK,"M,J,Z",40.70835876464844,-73.95775604248047,227116.52380952382
89,J003,"Hewes St (J,M)",BK,"M,J",40.70687103271485,-73.95343017578125,48970.76190476191
90,J005,"Lorimer St (J,M)",BK,"M,J",40.7038688659668,-73.9474105834961,71597.38095238095
91,J007,"Flushing Av (J,M)",BK,"M,J",40.70026016235352,-73.94112396240234,128757.76190476191
92,J009,"Myrtle Av (J,M,Z)",BK,"M,J,Z",40.697208404541016,-73.93565368652344,198320.19047619047
93,J012,Kosciuszko St (J),BK,J,40.69334030151367,-73.92881774902344,93251.61904761905
94,J013,"Gates Av (J,Z)",BK,"J,Z",40.68962860107422,-73.92227172851562,115248.61904761905
95,J016,Halsey St (J),BK,J,40.686370849609375,-73.91655731201172,97912.38095238095
96,J017,"Chauncey St (J,Z)",BK,"J,Z",40.682891845703125,-73.91045379638672,49722.666666666664
97,J020,Alabama Av (J),BK,J,40.6769905090332,-73.89865112304688,32246.571428571428
98,J021,"Van Siclen Av (J,Z)",BK,"J,Z",40.67802429199219,-73.89168548583984,42237.28571428572
99,J022,Cleveland St (J),BK,J,40.67994689941406,-73.88463592529297,37834.76190476191
100,J023,"Norwood Av (J,Z)",BK,"J,Z",40.68141174316406,-73.88003540039062,40517.52380952381
101,J024,"Crescent St (J,Z)",BK,"J,Z",40.68319320678711,-73.87378692626953,64550.380952380954
